question,answer,source_uri
"What resources does First American provide for policyholders?","At First American, we're dedicated to supporting our policyholders beyond coverage. We offer a range of resources and tools to help you manage your warranty, understand your policy benefits, and make informed decisions about your coverage. Whether you're looking for home maintenance tips or guidance on warranty planning, First American is here to help.","https://homewarranty.firstam.com/resources"
"How do I file a claim with First American Home Warranty?","Filing a claim with First American Home Warranty is easy. Simply log into your online account or call our claims department to report your issue. We’ll quickly connect you with a qualified technician to resolve your problem as soon as possible.","https://homewarranty.firstam.com/claims"
"What is covered under First American's home warranty plans?","First American offers a variety of coverage options that include major home systems such as HVAC, plumbing, and electrical systems, as well as essential appliances like refrigerators, ovens, and dishwashers. Check our plan details for specific coverage options.","https://homewarranty.firstam.com/plans"
"Can I choose my own contractor for repairs under First American's warranty?","Typically, First American Home Warranty has a network of approved service providers to ensure quality and reliability. However, you can discuss specific needs with our claims team if you prefer to use a personal contractor.","https://homewarranty.firstam.com/claims"
"How do I cancel my home warranty policy with First American?","If you need to cancel your home warranty policy, you can do so by contacting our customer service team. They will guide you through the cancellation process and discuss any potential refunds or final steps required.","https://homewarranty.firstam.com/cancel"
"What property types can be covered by First American Home Warranty?","First American Home Warranty covers various property types, including Single-Family homes, Multi-Family homes, Condominiums, Townhomes, and Mobile Homes. Specify the type of property you want to protect to get an accurate quote.","https://homewarranty.firstam.com/property-types"
"What plan types are available for First American Home Warranty?","First American Home Warranty offers several plan types, including Starter, Essential, and Premium plans. Each plan provides different levels of coverage to fit your needs and budget. If you are unsure which plan is best for you, our representatives can assist in selecting the right option.","https://homewarranty.firstam.com/plans"
"What appliances can be covered under First American Home Warranty?","First American Home Warranty can cover a wide range of appliances, including Dishwashers, Refrigerators, Range Hoods, Microwaves, Ovens, Washers, Dryers, Trash Compactors, or all of the above. Specify which appliances you want covered when requesting a quote.","https://homewarranty.firstam.com/appliances"
"What plumbing items are covered under First American Home Warranty?","First American Home Warranty covers various plumbing items, including Plumbing, Plumbing Stoppages, Toilet Tanks, Bowls and Mechanisms, Water Heaters, Garbage Disposals, Hose Bibbs, Install Ground Level Cleanouts, Instant Hot Water Dispensers, Shower Heads and Shower Arms. You can select all or specify none based on your needs.","https://homewarranty.firstam.com/plumbing"
"What systems are covered under First American Home Warranty?","First American Home Warranty covers several systems, such as Electrical, Fans (Attic, Exhaust, Ceiling, Whole House), Garage Door Openers, Garage Door Springs, Hinges, and Transmitters, Central Vacuum Systems, or all of the above. Specify which systems you want covered when requesting a quote.","https://homewarranty.firstam.com/systems"
"What HVAC items are covered under First American Home Warranty?","First American Home Warranty can cover various HVAC items, including Ductwork, Heating, Refrigerant, Air Conditioning, Mini-split Ductless Systems, Registers, Grills, Filters, Window AC Units, or all of the above. Specify which HVAC items you want covered when requesting a quote.","https://homewarranty.firstam.com/hvac"
"What additional limits are offered under First American Home Warranty?","First American Home Warranty offers additional limits for coverage, including Concrete Encasement, HVAC Lifting Equipment, Improper Installations/Modifications, Permits and Code Violations, Refrigerant Recapture, Reclaim, Disposal, or all of the above. Specify which additional limits you want covered when requesting a quote.","https://homewarranty.firstam.com/additional-limits"
"What types of properties can I cover under a home warranty?", "You can cover the following types of properties: Single-Family, Multi-Family, Condominium, Townhome, and Mobile Home. Please specify the type of property you want to protect. Single-Family: A standalone residential structure intended for one family. Multi-Family: A building or complex that contains multiple separate housing units for different families. Condominium: A type of residential property where individuals own their unit and share ownership of common areas. Townhome: A multi-floor home that shares one or more walls with adjacent properties. Mobile Home: A prefabricated home that is built in a factory and then transported to a site.", "https://www.homewarranty.com/property-types-covered" "What are the different plan types available?", "We offer three main coverage plans: Starter, Essential, and Premium. If you are unsure which plan to choose, please select 'Unsure' and we will assist you in selecting the best plan for your needs. Starter**: Basic coverage for essential home systems and appliances. Essential: Enhanced coverage including additional systems and appliances. Premium: Comprehensive coverage for most home systems and appliances. Unsure: Select this if you need assistance in choosing the best plan for your needs.", "https://www.homewarranty.com/plan-types"
"What appliances can be covered under a home warranty?", "The following appliances can be covered:Dishwasher**: Covers repair or replacement of your dishwasher. Refrigerator: Covers your refrigerator, including the built-in ice maker. Range Hood: Covers the range hood over your stove. Microwave: Includes coverage for built-in microwaves. Oven: Covers both gas and electric ovens. Washer: Coverage for your clothes washer. Dryer: Coverage for your clothes dryer. Trash Compactor: Coverage for built-in trash compactors. All: Select this if you want all the above appliances covered. None: Select this if you do not want any appliances covered.", "https://www.homewarranty.com/appliance-coverage"
"What plumbing options can be covered?", "The plumbing options available for coverage include: Plumbing: Covers the main plumbing system, pipes, and faucets. Plumbing Stoppages: Includes stoppages in drain and sewer lines. Toilet Tanks, Bowls and Mechanisms: Covers the internal parts of toilets. Water Heater: Coverage for repair or replacement of the water heater. Garbage Disposal: Coverage for the garbage disposal unit. Hose Bibbs: Covers external faucets. Install Ground Level Cleanout: Coverage for installing a ground-level cleanout. Instant Hot Water Dispenser: Covers instant hot water dispensers. Shower Head and Shower Arm: Includes coverage for shower heads and arms. All: Select this if you want all the above plumbing options covered. None: Select this if you do not want any plumbing options covered.", "https://www.homewarranty.com/plumbing-coverage"
"What systems can I cover under a home warranty?", "You can cover the following systems: Electrical: Coverage for the electrical system, including wiring, outlets, and panels. Fans (Attic, Exhaust, Ceiling, Whole House): Covers various types of fans in the home. Garage Door Opener: Coverage for the garage door opener mechanism. Garage Door Springs, Hinges, and Transmitters: Includes coverage for these specific garage door components. Central Vacuum System: Coverage for central vacuum systems. All: Select this if you want all the above systems covered. None: Select this if you do not want any systems covered.", "https://www.homewarranty.com/systems-coverage"
"What HVAC items can be covered?", "The HVAC items available for coverage include: Ductwork: Coverage for the ductwork that distributes air throughout your home. Heating: Includes coverage for heating systems. Refrigerant: Coverage for refrigerant required for cooling systems. Air Conditioning: Covers central air conditioning systems. Mini-split Ductless Systems**: Includes coverage for ductless mini-split systems. Registers, Grills, Filters**: Coverage for air registers, grills, and filters. Window AC Units: Coverage for window-mounted air conditioning units. All: Select this if you want all the above HVAC items covered. None: Select this if you do not want any HVAC items covered.", "https://www.homewarranty.com/hvac-coverage"
"What additional limits can be covered?", "Additional limits you can choose to cover include: Concrete Encasement: Coverage for pipes encased in concrete. HVAC Lifting Equipment: Includes coverage for equipment needed to lift HVAC units. Improper Installations/Modifications: Coverage for issues due to improper installations or modifications. Permits and Code Violations: Includes coverage for required permits and code violations. Refrigerant Recapture, Reclaim, and Disposal: Coverage for the process of recapturing, reclaiming, and disposing of refrigerants. All: Select this if you want all the above additional limits covered. None: Select this if you do not want any additional limits covered.", "https://www.homewarranty.com/additional-limits-coverage"
"How do I know which plan type is right for me?", "If you are unsure about which plan type to select, choose 'Unsure' and we will provide assistance in selecting the best plan based on your specific needs and the items you want covered. Our representatives can guide you through the process and help you understand the differences between the Starter, Essential, and Premium plans.", "https://www.homewarranty.com/plan-selection-help"
